"","from","to","x2","var0","var1","var2","var3","var4","var5","var6","var7","var8","var9","var10","var11","var12","var13","var14","var15","var16","var17","var18","var19","var20","var21","var22","var23","var24","atividade","acesso","acesso_positivo","acesso_negativo","confianca","acessoeconfianca","total","neg_x2","neg_var0","neg_var1","neg_var2","neg_var3","neg_var4","neg_var5","neg_var6","neg_var7","neg_var8","neg_var9","neg_var10","neg_var11","neg_var12","neg_var13","neg_var14","neg_var15","neg_var16","neg_var17","neg_var18","neg_var19","neg_var20","neg_var21","neg_var22","neg_var23","neg_var24","neg_atividade","neg_acesso","neg_acesso_positivo","neg_acesso_negativo","neg_confianca","neg_acessoeconfianca","neg_total","weight","aux_var4","equalone"
"1","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_RUR_ Humaitá",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"2","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_RUR_ Igrejinha",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"3","CRAS_AS_ CRAS Norte Benfica","UAP_RUR_ Igrejinha",1,1,1,1,0,1,0,0,3,3,3,2,2,2,2,1,3,2,2,2,2,2,2,2,3,3,3,23,17,6,18,41,44,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,1,3,3,5,6,2,5,8,1,1,1
"4","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_RUR_ Monte Verde",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"5","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_RUR_ Pirapetinga",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"6","ENT_SOC_ Território Aliança pela Vida  Zona Norte","UAP_RUR_ Rosário de Minas",1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,5,26,21,5,24,50,55,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,5,8,15,20,1,1,1
"7","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_RUR_ Torreões",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"8","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_RUR_ Valadares",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"9","RES_TER_ Casa V1","UAP_URB_ Centro Sul",1,1,1,1,1,1,0,0,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,4,26,19,7,24,50,54,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,4,7,9,7,8,15,19,1,1,1
"10","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_URB_ Dom Bosco",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"11","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_URB_ Santa Cecília",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"12","CRAS_AS_ CRAS Norte Benfica","UAP_URB_ Barreira do Triunfo",1,1,1,1,0,1,0,0,3,3,3,2,2,2,2,1,3,2,2,2,2,2,2,2,3,3,3,23,17,6,18,41,44,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,1,3,3,5,6,2,5,8,1,1,1
"13","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_URB_ Cidade do Sol",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"14","CRAS_AS_ CRAS Norte Benfica","UAP_URB_ Jóquei Clube I",1,1,1,1,0,1,0,0,3,3,3,2,2,2,2,1,3,2,2,2,2,2,2,2,3,3,3,23,17,6,18,41,44,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,1,3,3,5,6,2,5,8,1,1,1
"15","CRAS_AS_ CRAS Norte Benfica","UAP_URB_ Jóquei Clube II",1,1,1,1,0,1,0,0,3,3,3,2,2,2,2,1,3,2,2,2,2,2,2,2,3,3,3,23,17,6,18,41,44,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,1,3,3,5,6,2,5,8,1,1,1
"16","ASS_HOS_ Serviço de Controle e Prevenção e Tratamento do Tabagismo (SECOPTT)","UAP_URB_ Monte Castelo",1,1,1,1,1,1,1,0,3,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,5,24,19,5,24,48,53,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,9,5,8,17,22,1,1,1
"17","ENT_SOC_ Território Aliança pela Vida  Zona Norte","UAP_URB_ Nova Era",1,1,1,1,1,1,1,0,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,5,26,21,5,24,50,55,1,1,1,1,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,5,7,7,5,8,15,20,1,1,1
"18","ENT_SOC_ Território Aliança pela Vida  Zona Norte","UAP_URB_ Santa Cruz",1,1,1,0,1,1,1,0,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,4,26,21,5,24,50,54,1,1,1,0,1,1,1,0,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,4,7,7,5,8,15,19,1,1,1
"19","CRAS_AS_ CRAS Norte Benfica","UAP_URB_ Santa Cruz",1,1,1,1,1,1,0,0,3,3,3,2,2,2,2,1,3,2,2,2,2,2,2,2,3,3,4,23,17,6,18,41,45,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,-1,0,0,0,0,0,0,0,1,1,4,3,5,6,2,5,9,1,1,1
